Circuit delay: 706.68682 ps

Gate slacks:
INPUT-1: 70.66868 ps
INPUT-8: 151.44666 ps
INPUT-13: 501.94070 ps
INPUT-17: 113.01223 ps
INPUT-26: 70.66868 ps
INPUT-29: 186.59072 ps
INPUT-36: 665.44640 ps
INPUT-42: 113.01223 ps
INPUT-51: 70.66868 ps
INPUT-55: 241.29234 ps
INPUT-59: 134.06042 ps
INPUT-68: 514.74357 ps
INPUT-72: 514.74357 ps
INPUT-73: 564.19877 ps
INPUT-74: 697.59505 ps
INPUT-75: 134.06042 ps
INPUT-80: 186.59072 ps
INPUT-85: 718.36509 ps
INPUT-86: 718.36509 ps
INPUT-87: 693.78487 ps
INPUT-88: 693.78487 ps
INPUT-89: 722.64867 ps
INPUT-90: 718.36121 ps
INPUT-91: 454.12125 ps
INPUT-96: 387.76059 ps
INPUT-101: 381.20936 ps
INPUT-106: 387.76059 ps
INPUT-111: 344.14095 ps
INPUT-116: 244.49828 ps
INPUT-121: 237.94705 ps
INPUT-126: 244.49828 ps
INPUT-130: 647.03693 ps
INPUT-135: 647.03693 ps
INPUT-138: 381.27758 ps
INPUT-143: 344.19986 ps
INPUT-146: 244.55719 ps
INPUT-149: 238.00595 ps
INPUT-152: 387.82881 ps
INPUT-153: 244.55719 ps
INPUT-156: 175.50004 ps
INPUT-159: 530.55469 ps
INPUT-165: 464.14187 ps
INPUT-171: 457.57327 ps
INPUT-177: 464.14187 ps
INPUT-183: 421.32508 ps
INPUT-189: 320.87956 ps
INPUT-195: 314.31096 ps
INPUT-201: 320.87956 ps
INPUT-207: 647.03693 ps
INPUT-210: 631.53743 ps
INPUT-219: 631.52892 ps
INPUT-228: 631.52853 ps
INPUT-237: 631.52483 ps
INPUT-246: 631.52846 ps
INPUT-255: 631.53741 ps
INPUT-259: 631.53741 ps
INPUT-260: 631.53741 ps
INPUT-261: 364.02932 ps
INPUT-267: 631.53741 ps
INPUT-268: 226.22952 ps
NAND-269: 707.89830 ps
NAND-270: 696.91327 ps
AND-273: 665.44640 ps
AND-292: 704.42497 ps
NOR-322: 116.51512 ps
AND-323: 113.01223 ps
AND-276: 70.66868 ps
NAND-279: 151.44666 ps
NAND-280: 501.94070 ps
AND-296: 690.32309 ps
NAND-285: 703.45683 ps
NAND-284: 514.74357 ps
NAND-286: 697.59505 ps
AND-290: 704.42497 ps
AND-294: 134.06042 ps
AND-287: 186.59072 ps
AND-291: 704.42497 ps
AND-293: 690.32309 ps
AND-295: 690.32309 ps
AND-297: 718.36509 ps
OR-298: 693.78487 ps
NAND-301: 546.17968 ps
OR-302: 537.87226 ps
NAND-303: 546.17968 ps
OR-304: 537.87226 ps
NAND-305: 546.17968 ps
OR-306: 537.87226 ps
NAND-307: 546.17968 ps
OR-308: 537.87226 ps
AND-309: 454.18947 ps
AND-316: 387.82881 ps
AND-317: 381.27758 ps
AND-318: 387.82881 ps
NAND-319: 176.68670 ps
NAND-324: 546.17968 ps
OR-325: 537.87226 ps
NAND-326: 546.17968 ps
OR-327: 537.87226 ps
NAND-328: 546.17968 ps
OR-329: 537.87226 ps
NAND-330: 546.17968 ps
OR-331: 537.87226 ps
AND-332: 642.67195 ps
AND-333: 642.67195 ps
AND-334: 642.67195 ps
AND-335: 642.67194 ps
AND-336: 631.53743 ps
AND-338: 631.53743 ps
AND-340: 631.53743 ps
AND-337: 631.53741 ps
AND-339: 631.53741 ps
AND-341: 631.53741 ps
NOT-310: 226.22952 ps
NOT-342: 707.89830 ps
NOT-343: 665.44640 ps
OR-344: 675.12486 ps
BUFF-390: 704.42497 ps
NOR-375: 113.01223 ps
NOT-345: 70.66868 ps
NOT-346: 668.23477 ps
NOT-347: 151.44666 ps
NOT-354: 690.32309 ps
OR-349: 674.99435 ps
NOR-348: 501.94070 ps
OR-350: 674.99435 ps
BUFF-388: 704.42497 ps
NOT-352: 134.06042 ps
BUFF-389: 704.42497 ps
NOT-351: 690.32309 ps
NOT-353: 690.32309 ps
BUFF-391: 718.36509 ps
NAND-355: 697.51197 ps
AND-356: 693.78487 ps
NAND-357: 537.87226 ps
NAND-360: 537.87226 ps
NAND-363: 537.87226 ps
NAND-366: 537.87226 ps
NAND-376: 537.87226 ps
NAND-379: 537.87226 ps
NAND-382: 537.87226 ps
NAND-385: 537.87226 ps
NOT-369: 226.22952 ps
BUFF-418: 707.89830 ps
OR-392: 665.44640 ps
BUFF-419: 675.12486 ps
OUTPUT-390: 704.42497 ps
NOT-393: 70.66868 ps
NOT-399: 668.23477 ps
BUFF-422: 690.32309 ps
NOT-401: 674.99435 ps
AND-400: 501.94070 ps
NOT-402: 674.99435 ps
OUTPUT-388: 704.42497 ps
NAND-410: 134.06042 ps
OUTPUT-389: 704.42497 ps
BUFF-420: 690.32309 ps
BUFF-421: 690.32309 ps
OUTPUT-391: 718.36509 ps
NOT-403: 697.51197 ps
BUFF-423: 693.78487 ps
NOT-404: 537.87226 ps
NOT-405: 537.87226 ps
AND-406: 546.96216 ps
NOT-407: 537.87226 ps
NOT-408: 537.87226 ps
AND-409: 546.96216 ps
NOT-411: 537.87226 ps
NOT-412: 537.87226 ps
AND-413: 546.96216 ps
NOT-414: 537.87226 ps
NOT-415: 537.87226 ps
AND-416: 546.96216 ps
AND-417: 596.57024 ps
OUTPUT-418: 707.89830 ps
BUFF-446: 665.44640 ps
OUTPUT-419: 675.12486 ps
AND-427: 225.82655 ps
AND-432: 225.82655 ps
NAND-437: 139.63212 ps
NAND-442: 70.66868 ps
NAND-443: 94.06155 ps
BUFF-447: 668.23477 ps
OUTPUT-422: 690.32309 ps
BUFF-448: 674.99435 ps
NOT-424: 501.94070 ps
BUFF-449: 674.99435 ps
OUTPUT-420: 690.32309 ps
OUTPUT-421: 690.32309 ps
BUFF-450: 697.51197 ps
OUTPUT-423: 693.78487 ps
AND-425: 537.87226 ps
AND-426: 537.87226 ps
AND-444: 537.87226 ps
AND-445: 537.87226 ps
OUTPUT-446: 665.44640 ps
AND-475: 298.73844 ps
AND-477: 232.37778 ps
AND-479: 225.82655 ps
AND-481: 232.37778 ps
AND-476: 298.73844 ps
AND-478: 232.37778 ps
AND-480: 225.82655 ps
AND-482: 232.37778 ps
OR-488: 245.82603 ps
OR-489: 146.18336 ps
OR-490: 139.63212 ps
OR-491: 146.18336 ps
NAND-466: 70.66868 ps
NAND-483: 94.06155 ps
OUTPUT-447: 668.23477 ps
OUTPUT-448: 674.99435 ps
NOT-451: 501.94070 ps
OUTPUT-449: 674.99435 ps
OUTPUT-450: 697.51197 ps
NOR-460: 537.87226 ps
NOR-463: 537.87226 ps
NOR-492: 537.87226 ps
