Circuit delay: 661.45607 ps

Gate slacks:
INPUT-START: 488.04886 ps
INPUT-STATO_REG_0__SCAN_IN: 157.04596 ps
INPUT-STATO_REG_1__SCAN_IN: 157.04596 ps
INPUT-PUNTI_RETTA_REG_7__SCAN_IN: 672.39363 ps
INPUT-PUNTI_RETTA_REG_6__SCAN_IN: 672.39363 ps
INPUT-PUNTI_RETTA_REG_5__SCAN_IN: 672.39363 ps
INPUT-PUNTI_RETTA_REG_4__SCAN_IN: 672.39363 ps
INPUT-PUNTI_RETTA_REG_3__SCAN_IN: 672.39363 ps
INPUT-PUNTI_RETTA_REG_2__SCAN_IN: 672.39363 ps
INPUT-PUNTI_RETTA_REG_1__SCAN_IN: 672.39363 ps
INPUT-PUNTI_RETTA_REG_0__SCAN_IN: 672.39363 ps
INPUT-CONT_REG_7__SCAN_IN: 574.64422 ps
INPUT-CONT_REG_6__SCAN_IN: 504.96473 ps
INPUT-CONT_REG_5__SCAN_IN: 441.20013 ps
INPUT-CONT_REG_4__SCAN_IN: 401.50860 ps
INPUT-CONT_REG_3__SCAN_IN: 361.81707 ps
INPUT-CONT_REG_2__SCAN_IN: 322.12782 ps
INPUT-CONT_REG_1__SCAN_IN: 282.83589 ps
INPUT-CONT_REG_0__SCAN_IN: 269.47248 ps
INPUT-MAR_REG_7__SCAN_IN: 66.14561 ps
INPUT-MAR_REG_6__SCAN_IN: 66.14561 ps
INPUT-MAR_REG_5__SCAN_IN: 66.14561 ps
INPUT-MAR_REG_4__SCAN_IN: 66.14561 ps
INPUT-MAR_REG_3__SCAN_IN: 75.75401 ps
INPUT-MAR_REG_2__SCAN_IN: 109.85881 ps
INPUT-MAR_REG_1__SCAN_IN: 67.35674 ps
INPUT-MAR_REG_0__SCAN_IN: 67.35674 ps
INPUT-X_REG_7__SCAN_IN: 455.51393 ps
INPUT-X_REG_6__SCAN_IN: 455.51393 ps
INPUT-X_REG_5__SCAN_IN: 425.72867 ps
INPUT-X_REG_4__SCAN_IN: 386.03714 ps
INPUT-X_REG_3__SCAN_IN: 346.34562 ps
INPUT-X_REG_2__SCAN_IN: 306.65636 ps
INPUT-X_REG_1__SCAN_IN: 267.36443 ps
INPUT-X_REG_0__SCAN_IN: 238.31251 ps
INPUT-Y_REG_3__SCAN_IN: 347.33998 ps
INPUT-Y_REG_1__SCAN_IN: 268.35879 ps
INPUT-Y_REG_5__SCAN_IN: 426.72303 ps
INPUT-T_REG_3__SCAN_IN: 346.70860 ps
INPUT-T_REG_5__SCAN_IN: 426.09165 ps
INPUT-T_REG_1__SCAN_IN: 267.72741 ps
INPUT-T_REG_0__SCAN_IN: 238.80017 ps
INPUT-T_REG_4__SCAN_IN: 386.40012 ps
INPUT-T_REG_6__SCAN_IN: 502.31981 ps
INPUT-T_REG_2__SCAN_IN: 307.01934 ps
INPUT-Y_REG_4__SCAN_IN: 387.03150 ps
INPUT-Y_REG_0__SCAN_IN: 239.64842 ps
INPUT-Y_REG_2__SCAN_IN: 307.65072 ps
INPUT-Y_REG_6__SCAN_IN: 502.95600 ps
INPUT-STATO_REG_2__SCAN_IN: 158.95798 ps
