Circuit delay: 1230.34785 ps

Gate slacks:
INPUT-1: 155.60344 ps
INPUT-13: 141.27463 ps
INPUT-20: 141.27463 ps
INPUT-33: 123.03479 ps
INPUT-41: 158.86595 ps
INPUT-45: 187.04078 ps
INPUT-50: 295.56091 ps
INPUT-58: 213.99923 ps
INPUT-68: 192.25010 ps
INPUT-77: 258.64866 ps
INPUT-87: 219.25916 ps
INPUT-97: 183.66349 ps
INPUT-107: 161.91436 ps
INPUT-116: 248.13532 ps
INPUT-124: 730.95193 ps
INPUT-125: 730.95193 ps
INPUT-128: 730.95193 ps
INPUT-132: 730.95193 ps
INPUT-137: 730.95193 ps
INPUT-143: 730.95193 ps
INPUT-150: 328.21485 ps
INPUT-159: 288.98440 ps
INPUT-169: 406.58763 ps
INPUT-179: 406.58361 ps
INPUT-190: 406.63885 ps
INPUT-200: 406.64430 ps
INPUT-213: 500.56834 ps
INPUT-222: 336.74717 ps
INPUT-223: 297.51671 ps
INPUT-226: 297.52351 ps
INPUT-232: 311.90813 ps
INPUT-238: 248.13531 ps
INPUT-244: 248.14211 ps
INPUT-250: 254.87123 ps
INPUT-257: 262.29927 ps
INPUT-264: 296.97252 ps
INPUT-270: 339.42310 ps
INPUT-274: 290.59270 ps
INPUT-283: 254.86444 ps
INPUT-294: 262.29247 ps
INPUT-303: 296.96572 ps
INPUT-311: 777.38008 ps
INPUT-317: 806.70038 ps
INPUT-322: 806.70038 ps
INPUT-326: 806.70038 ps
INPUT-329: 806.70038 ps
INPUT-330: 790.64123 ps
INPUT-343: 500.56834 ps
INPUT-349: 139.55594 ps
INPUT-350: 1126.31629 ps
NOT-769: 235.87211 ps
BUFF-772: 741.36547 ps
NOT-779: 197.20788 ps
BUFF-874: 829.54025 ps
BUFF-782: 391.89961 ps
NOT-786: 751.50785 ps
NAND-913: 161.37883 ps
AND-793: 141.27463 ps
NOT-794: 399.69842 ps
BUFF-798: 752.63820 ps
NOT-803: 154.20923 ps
NOT-883: 571.90397 ps
NOT-895: 776.02566 ps
NOT-915: 288.80550 ps
NOT-820: 134.73170 ps
BUFF-821: 746.29361 ps
NOT-825: 123.03479 ps
NAND-914: 155.60344 ps
NOT-916: 251.73421 ps
AND-829: 158.86595 ps
NOT-832: 196.98596 ps
OR-835: 250.44152 ps
BUFF-836: 187.04078 ps
NOT-839: 818.27312 ps
BUFF-655: 697.14745 ps
NOT-665: 787.69039 ps
NOT-842: 295.56091 ps
BUFF-950: 748.43571 ps
BUFF-670: 689.01289 ps
NOT-679: 731.54262 ps
BUFF-845: 281.90188 ps
NOT-848: 295.56091 ps
BUFF-953: 1104.05992 ps
BUFF-956: 213.99923 ps
BUFF-683: 771.99153 ps
NOT-686: 731.54262 ps
BUFF-690: 689.01289 ps
BUFF-851: 230.43917 ps
NOT-854: 289.24578 ps
BUFF-877: 192.25010 ps
BUFF-699: 771.99153 ps
NOT-702: 731.54262 ps
BUFF-706: 689.01289 ps
BUFF-715: 689.01289 ps
NOT-724: 790.69049 ps
BUFF-858: 244.60990 ps
NOT-861: 219.25916 ps
BUFF-727: 689.01289 ps
NOT-736: 785.31427 ps
BUFF-864: 230.43237 ps
NOT-867: 219.25916 ps
BUFF-959: 1138.24290 ps
BUFF-962: 183.66349 ps
BUFF-740: 689.01289 ps
NOT-749: 785.31426 ps
NOT-870: 215.58415 ps
BUFF-880: 161.91436 ps
BUFF-753: 686.16555 ps
NOT-763: 755.66497 ps
AND-892: 555.23210 ps
BUFF-917: 524.47775 ps
BUFF-886: 561.85868 ps
NOT-889: 602.22343 ps
AND-890: 581.51938 ps
NAND-891: 597.69310 ps
NOT-920: 1011.00129 ps
BUFF-926: 722.12906 ps
BUFF-929: 722.12906 ps
BUFF-932: 722.12906 ps
BUFF-935: 722.12906 ps
BUFF-938: 802.74594 ps
BUFF-941: 802.74594 ps
OR-768: 1196.13455 ps
BUFF-944: 802.74594 ps
BUFF-947: 802.74594 ps
BUFF-965: 966.75160 ps
BUFF-923: 1000.94707 ps
OR-896: 139.55594 ps
BUFF-1334: 1155.56247 ps
BUFF-1279: 751.48134 ps
NAND-1331: 1137.27173 ps
NOT-1196: 141.27463 ps
NAND-1337: 804.40984 ps
AND-1452: 391.89961 ps
AND-1325: 741.36547 ps
NAND-1328: 1136.91233 ps
NOT-1345: 246.62946 ps
NOT-1346: 207.40974 ps
NOT-1347: 224.53151 ps
NOT-1348: 221.79042 ps
NOT-1349: 170.32771 ps
NOT-1350: 177.07401 ps
NOT-1351: 184.49844 ps
NOT-1352: 240.16395 ps
OR-1179: 776.02566 ps
OR-1197: 288.80550 ps
OR-1117: 134.73170 ps
BUFF-1369: 746.29361 ps
BUFF-1298: 755.70172 ps
BUFF-1384: 123.03479 ps
AND-1202: 155.60344 ps
OR-1219: 251.73421 ps
NOT-1426: 158.86595 ps
NOT-1427: 208.21887 ps
BUFF-1302: 761.25109 ps
AND-1306: 250.44152 ps
AND-1315: 187.04078 ps
AND-1322: 225.84309 ps
BUFF-1273: 818.54664 ps
BUFF-1276: 818.27312 ps
NAND-1251: 1108.65479 ps
BUFF-1268: 1116.47444 ps
NOT-1474: 748.43571 ps
NAND-1252: 1111.78958 ps
BUFF-1471: 731.54262 ps
NOT-1271: 1104.05992 ps
NOT-1339: 213.99923 ps
NAND-1263: 800.72298 ps
BUFF-1475: 731.54262 ps
NAND-1253: 1111.78958 ps
AND-1250: 1252.75301 ps
NAND-1338: 291.88591 ps
BUFF-1493: 1082.28785 ps
BUFF-1496: 192.25010 ps
NAND-1267: 771.99153 ps
BUFF-1478: 731.54262 ps
NAND-1254: 1111.78958 ps
NAND-1255: 1111.78958 ps
BUFF-1481: 790.69049 ps
NAND-1256: 1111.78958 ps
BUFF-1484: 785.31427 ps
NOT-1272: 1138.24290 ps
NOT-1344: 183.66349 ps
NAND-1257: 1111.78958 ps
NAND-1264: 868.09427 ps
BUFF-1487: 785.31426 ps
AND-1340: 707.26197 ps
NAND-1343: 215.58415 ps
BUFF-1499: 1116.47083 ps
BUFF-1502: 161.91436 ps
NAND-1258: 1108.65479 ps
BUFF-1490: 782.25055 ps
BUFF-1363: 555.23210 ps
NOT-1366: 562.10556 ps
NOT-1459: 524.47775 ps
OR-1353: 583.36017 ps
NOR-1358: 561.85868 ps
NOT-1259: 722.12906 ps
NOT-1260: 722.12906 ps
NOT-1261: 722.12906 ps
NOT-1262: 722.12906 ps
NOT-1467: 802.74594 ps
NOT-1468: 802.74594 ps
AND-1067: 1196.13455 ps
NOT-1469: 802.74594 ps
NOT-1470: 802.74594 ps
NOT-1460: 966.75160 ps
OR-1461: 1000.94707 ps
NOR-1464: 1050.92768 ps
NOT-1401: 244.25132 ps
NOT-1402: 205.02087 ps
NOT-1403: 222.15337 ps
NOT-1404: 219.41228 ps
NOT-1405: 155.63947 ps
NOT-1406: 162.36859 ps
NOT-1407: 169.79662 ps
NOT-1408: 204.46987 ps
NOT-1769: 1173.42634 ps
NAND-1756: 1107.51778 ps
NOT-1770: 1154.88743 ps
