32 primary inputs
32 primary outputs
256 AND gates
32 NOT gates
2128 NOR gates

Fanout...
AND-545: OUTPUT-545
NOR-1581: OUTPUT-1581
NOR-1901: OUTPUT-1901
NOR-2223: OUTPUT-2223
NOR-2548: OUTPUT-2548
NOR-2877: OUTPUT-2877
NOR-3211: OUTPUT-3211
NOR-3552: OUTPUT-3552
NOR-3895: OUTPUT-3895
NOR-4241: OUTPUT-4241
NOR-4591: OUTPUT-4591
NOR-4946: OUTPUT-4946
NOR-5308: OUTPUT-5308
NOR-5672: OUTPUT-5672
NOR-5971: OUTPUT-5971
NOR-6123: OUTPUT-6123
NOR-6150: OUTPUT-6150
NOR-6160: OUTPUT-6160
NOR-6170: OUTPUT-6170
NOR-6180: OUTPUT-6180
NOR-6190: OUTPUT-6190
NOR-6200: OUTPUT-6200
NOR-6210: OUTPUT-6210
NOR-6220: OUTPUT-6220
NOR-6230: OUTPUT-6230
NOR-6240: OUTPUT-6240
NOR-6250: OUTPUT-6250
NOR-6260: OUTPUT-6260
NOR-6270: OUTPUT-6270
NOR-6280: OUTPUT-6280
NOR-6287: OUTPUT-6287
NOR-6288: OUTPUT-6288
AND-546: NOR-1446, NOR-1507
AND-549: NOR-1763, NOR-1825
AND-552: NOR-2085, NOR-2150
AND-555: NOR-2414, NOR-2477
AND-558: NOR-2745, NOR-2807
AND-561: NOR-3079, NOR-3141
AND-564: NOR-3417, NOR-3480
AND-567: NOR-3760, NOR-3826
AND-570: NOR-4110, NOR-4174
AND-573: NOR-4462, NOR-4525
AND-576: NOR-4817, NOR-4880
AND-579: NOR-5176, NOR-5240
AND-582: NOR-5540, NOR-5607
AND-585: NOR-5882, NOR-5929
AND-588: NOR-6085, NOR-6107
AND-591: NOT-1311, NOR-1371
AND-594: NOR-1450, NOR-1512
AND-597: NOR-1767, NOR-1830
AND-600: NOR-2089, NOR-2155
AND-603: NOR-2418, NOR-2482
AND-606: NOR-2749, NOR-2812
AND-609: NOR-3083, NOR-3146
AND-612: NOR-3421, NOR-3485
AND-615: NOR-3764, NOR-3831
AND-618: NOR-4114, NOR-4179
AND-621: NOR-4466, NOR-4530
AND-624: NOR-4821, NOR-4885
AND-627: NOR-5180, NOR-5245
AND-630: NOR-5544, NOR-5612
AND-633: NOR-5886, NOR-5934
AND-636: NOR-6064, NOR-6090
AND-639: NOT-1315, NOR-1373
AND-642: NOR-1454, NOR-1517
AND-645: NOR-1771, NOR-1835
AND-648: NOR-2093, NOR-2160
AND-651: NOR-2422, NOR-2487
AND-654: NOR-2753, NOR-2817
AND-657: NOR-3087, NOR-3151
AND-660: NOR-3425, NOR-3490
AND-663: NOR-3768, NOR-3836
AND-666: NOR-4118, NOR-4184
AND-669: NOR-4470, NOR-4535
AND-672: NOR-4825, NOR-4890
AND-675: NOR-5184, NOR-5250
AND-678: NOR-5548, NOR-5617
AND-681: NOR-5840, NOR-5891
AND-684: NOR-6040, NOR-6069
AND-687: NOT-1319, NOR-1375
AND-690: NOR-1458, NOR-1522
AND-693: NOR-1775, NOR-1840
AND-696: NOR-2097, NOR-2165
AND-699: NOR-2426, NOR-2492
AND-702: NOR-2757, NOR-2822
AND-705: NOR-3091, NOR-3156
AND-708: NOR-3429, NOR-3495
AND-711: NOR-3772, NOR-3841
AND-714: NOR-4122, NOR-4189
AND-717: NOR-4474, NOR-4540
AND-720: NOR-4829, NOR-4895
